YAL001C	807	407	400	989	497	492	1030	518	512	0.81	1.23	0.78	1.28
YAL002W	3358	485	2873	3787	803	2984	3947	837	3110	0.96	1.04	0.92	1.08
YAL003W	6380	470	5910	8672	539	8133	9039	561	8478	0.73	1.38	0.7	1.43
YAL004W	452	13673	24719	691	24028	25767	720	25047	0.57	1.76	0.55	1.83	0.56
YAL005C	13435	499	12936	21831	621	21210	22756	647	22109	0.61	1.64	0.59	1.71
YAL007C	491	4224	6182	749	5433	6444	780	5664	0.78	1.29	0.75	1.34	0.8
YAL008W	3096	437	2659	3176	529	2647	3310	551	2759	1	1	0.96	1.04
YAL009W	2713	442	2271	2673	724	1949	2786	754	2032	1.17	0.86	1.12	0.89
YAL010C	1867	526	1341	1788	575	1213	1863	599	1264	1.11	0.9	1.06	0.94
YAL011W	2469	471	1998	2922	764	2158	3045	796	2249	0.93	1.08	0.89	1.13
YAL012W	3430	491	2939	4357	652	3705	4541	679	3862	0.79	1.26	0.76	1.31
YAL013W	1611	468	1143	2271	818	1453	2367	852	1515	0.79	1.27	0.75	1.33
YAL014C	971	391	580	793	273	520	826	284	542	1.12	0.9	1.07	0.93
YAL015C	1394	417	977	1085	269	816	1131	280	851	1.2	0.84	1.15	0.87
YAL016W	3425	384	3041	2407	316	2091	2509	329	2180	1.45	0.69	1.39	0.72
YAL017W	614	402	212	447	261	186	465	272	193	1.14	0.88	1.1	0.91
YAL018C	386	694	773	301	472	805	313	492	1.47	0.68	1.41	0.71	1
YAL019W	2514	402	2112	2650	298	2352	2762	310	2452	0.9	1.11	0.86	1.16
YAL020C	1151	413	738	858	279	579	894	290	604	1.27	0.78	1.22	0.82
YAL021C	2784	410	2374	2599	269	2330	2709	280	2429	1.02	0.98	0.98	1.02
YAL022C	1983	400	1583	1456	284	1172	1517	296	1221	1.35	0.74	1.3	0.77
YAL023C	6273	425	5848	4838	282	4556	5043	293	4750	1.28	0.78	1.23	0.81
YAL024C	1222	427	795	874	300	574	911	312	599	1.39	0.72	1.33	0.75
YAL025C	2741	429	2312	2943	285	2658	3067	297	2770	0.87	1.15	0.83	1.2
YAL026C	2304	470	1834	2585	813	1772	2694	847	1847	1.03	0.97	0.99	1.01
YAL027W	489	1103	1806	858	948	1882	894	988	1.16	0.86	1.12	0.9	1
YAL028AW	508	1097	1888	891	997	1968	928	1040	1.1	0.91	1.05	0.95	1
YAL028W	533	6322	8223	928	7295	8571	967	7604	0.87	1.15	0.83	1.2	0.88
YAL029C	2706	462	2244	3553	850	2703	3703	886	2817	0.83	1.2	0.8	1.26
YAL030W	3293	504	2789	5065	937	4128	5279	976	4303	0.68	1.48	0.65	1.54
YAL031C	1730	483	1247	2034	860	1174	2120	896	1224	1.06	0.94	1.02	0.98
YAL032C	2389	530	1859	3336	1161	2175	3477	1210	2267	0.85	1.17	0.82	1.22
YAL033W	1830	480	1350	2128	906	1222	2218	944	1274	1.1	0.91	1.06	0.94
YAL034AW	463	1102	2269	709	1560	2365	739	1626	0.71	1.42	0.68	1.48	0.89
YAL034C	811	478	333	1223	885	338	1274	922	352	0.99	1.02	0.95	1.06
YAL035W	11035	486	10549	17891	818	17073	18649	852	17797	0.62	1.62	0.59	1.69
YAL036C	2825	429	2396	2687	310	2377	2800	323	2477	1.01	0.99	0.97	1.03
YAL037W	416	767	883	275	608	920	286	634	1.26	0.79	1.21	0.83	1
YAL038W	6902	446	6456	10353	342	10011	10791	356	10435	0.64	1.55	0.62	1.62
YAL039C	2187	414	1773	2226	270	1956	2320	281	2039	0.91	1.1	0.87	1.15
YAL040C	3791	401	3390	3356	317	3039	3498	330	3168	1.12	0.9	1.07	0.93
YAL041W	3280	431	2849	3479	277	3202	3626	288	3338	0.89	1.12	0.85	1.17
YAL042W	4292	401	3891	4946	288	4658	5155	300	4855	0.84	1.2	0.8	1.25
YAL043C	742	393	349	569	261	308	593	272	321	1.13	0.88	1.09	0.92
YAL044C	6509	467	6042	7626	328	7298	7949	341	7608	0.83	1.21	0.79	1.26
