YAL001C	419	324	95	321	249	72	364	282	82	1.32	0.76	1.16	0.86
YAL002W	1869	411	1458	1693	321	1372	1920	364	1556	1.06	0.94	0.94	1.07
YAL003W	422	340	82	334	242	92	378	274	104	0.89	1.12	0.79	1.27
YAL004W	418	7830	13518	370	13148	15332	419	14913	0.6	1.68	0.53	1.9	0.54
YAL005C	417	333	84	314	237	77	356	268	88	1.09	0.92	0.95	1.05
YAL007C	425	2098	2347	307	2040	2661	348	2313	1.03	0.97	0.91	1.1	1
YAL008W	618	313	305	433	261	172	491	296	195	1.77	0.56	1.56	0.64
YAL009W	1903	424	1479	1314	347	967	1490	393	1097	1.53	0.65	1.35	0.74
YAL010C	423	341	82	312	242	70	353	274	79	1.17	0.85	1.04	0.96
YAL011W	1505	412	1093	1359	324	1035	1541	367	1174	1.06	0.95	0.93	1.07
YAL012W	420	334	86	314	243	71	356	275	81	1.21	0.83	1.06	0.94
YAL013W	1139	387	752	1075	335	740	1219	379	840	1.02	0.98	0.9	1.12
YAL014C	568	324	244	411	227	184	466	257	209	1.33	0.75	1.17	0.86
YAL015C	644	334	310	398	207	191	451	234	217	1.62	0.62	1.43	0.7
YAL016W	1439	365	1074	1150	251	899	1304	284	1020	1.19	0.84	1.05	0.95
YAL017W	575	358	217	373	191	182	423	216	207	1.19	0.84	1.05	0.95
YAL018C	365	376	555	264	291	629	299	330	1.29	0.77	1.14	0.88	1
YAL019W	936	370	566	656	222	434	744	251	493	1.3	0.77	1.15	0.87
YAL020C	734	342	392	548	243	305	621	275	346	1.29	0.78	1.13	0.88
YAL021C	1139	370	769	948	249	699	1075	282	793	1.1	0.91	0.97	1.03
YAL022C	851	376	475	585	256	329	663	290	373	1.44	0.69	1.27	0.79
YAL023C	1675	344	1331	1038	221	817	1177	250	927	1.63	0.61	1.44	0.7
YAL024C	732	359	373	461	249	212	522	282	240	1.76	0.57	1.55	0.64
YAL025C	779	364	415	486	222	264	551	251	300	1.57	0.64	1.38	0.72
YAL026C	410	329	81	307	241	66	348	273	75	1.23	0.81	1.08	0.93
YAL027W	395	676	795	318	477	901	360	541	1.42	0.71	1.25	0.8	1
YAL028AW	306	94	305	231	74	345	262	83	1.27	0.79	1.13	0.88	1
YAL028W	385	3802	3360	340	3020	3810	385	3425	1.26	0.79	1.11	0.9	1.04
YAL029C	391	308	83	298	227	71	337	257	80	1.17	0.86	1.04	0.96
YAL030W	1769	409	1360	1897	337	1560	2151	382	1769	0.87	1.15	0.77	1.3
YAL031C	397	321	76	306	240	66	347	272	75	1.15	0.87	1.01	0.99
YAL032C	1462	409	1053	1265	351	914	1434	398	1036	1.15	0.87	1.02	0.98
YAL033W	398	332	66	313	234	79	355	265	90	0.84	1.2	0.73	1.36
