YAL001C	499	303	196	481	237	244	414	204	210	0.8	1.24	0.93	1.07
YAL002W	1448	389	1059	1913	373	1540	1649	321	1328	0.69	1.45	0.8	1.25
YAL003W	3549	331	3218	4709	303	4406	4059	261	3798	0.73	1.37	0.85	1.18
YAL004W	377	6901	11403	356	11047	9829	306	9523	0.62	1.6	0.72	1.38	0.74
YAL005C	6059	364	5695	11464	297	11167	9882	256	9626	0.51	1.96	0.59	1.69
YAL007C	365	1165	1611	387	1224	1388	333	1055	0.95	1.05	1.1	0.91	1
YAL008W	1558	378	1180	2487	314	2173	2143	270	1873	0.54	1.84	0.63	1.59
YAL009W	1377	360	1017	1537	416	1121	1324	358	966	0.91	1.1	1.05	0.95
YAL010C	1143	362	781	1580	285	1295	1361	245	1116	0.6	1.66	0.7	1.43
YAL011W	1186	389	797	1586	438	1148	1367	377	990	0.69	1.44	0.81	1.24
YAL012W	1736	360	1376	3215	286	2929	2771	246	2525	0.47	2.13	0.54	1.84
YAL013W	1048	356	692	1579	430	1149	1361	370	991	0.6	1.66	0.7	1.43
YAL014C	463	301	162	374	172	202	322	148	174	0.8	1.25	0.93	1.07
YAL015C	528	299	229	392	199	193	337	171	166	1.19	0.84	1.38	0.72
YAL016W	810	321	489	734	185	549	632	159	473	0.89	1.12	1.03	0.97
YAL017W	478	283	195	359	167	192	309	143	166	1.02	0.98	1.17	0.85
YAL018C	314	210	372	178	194	320	153	167	1.08	0.92	1.26	0.8	1
YAL019W	858	326	532	711	193	518	612	166	446	1.03	0.97	1.19	0.84
YAL020C	582	329	253	398	182	216	343	156	187	1.17	0.85	1.35	0.74
YAL021C	1041	326	715	1210	214	996	1043	184	859	0.72	1.39	0.83	1.2
YAL022C	659	314	345	468	189	279	403	162	241	1.24	0.81	1.43	0.7
YAL023C	1869	319	1550	1441	196	1245	1242	168	1074	1.24	0.8	1.44	0.69
YAL024C	523	306	217	327	178	149	281	153	128	1.46	0.69	1.7	0.59
YAL025C	839	324	515	645	184	461	555	158	397	1.12	0.9	1.3	0.77
